title_theme,title_index,author,theme,cycle,collection,mss,ff,page
Heroica,heroica,Flavius Philostratus,Classical Romances,Cycle of Troy,royal,16. c. xxiii.,ff. 2-69 b,1
Iliaca,iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,royal,16. c. iv. a. b.,,2
Iliaca,iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,royal,16. d. iii. a. b.,,2
Iliaca,iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,harley,harley 5662.,ff. 1-56,2
Dictys Cretensis,dictys cretensis,,Classical Romances,Cycle of Troy,harley,harley 3514,,9
Dictys Cretensis,dictys cretensis,,Classical Romances,Cycle of Troy,burney,burney 170,,9
Dictys Cretensis,dictys cretensis,,Classical Romances,Cycle of Troy,additional,"add. 15,429",,9
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,6. c. viii.,ff. 123-133 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,10. a. x.,ff. 188-192 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,13. a. v.,ff. 88 b-98 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,15. a. xxii.,ff. 73-90,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,royal,15. b. xi.,ff. 57-66 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,caligula b. vii.,ff. 214-218 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,vitellius a. xiii.,ff. 90,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,vitellius c. viii.,ff. 5 b-6 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,vespasian b. xxv.,ff. 98 b-117,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,cotton,cleopatra b. v.,ff. 222-250,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,harley,harley 641.,ff. 1-8,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,burney,burney 216.,ff. 89-93 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,burney,burney 280.,ff. 20 b-38 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,sloane,sloane 1619,ff. 29-37 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,additional,"add. 10,094.",ff. 1-14 b,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,additional,"add. 15,042",,12
Dares Phrygius,dares phrygius,,Classical Romances,Cycle of Troy,additional,"add. 19,709.",ff. 1-7,12
Latin Poems,,"Simon Chèvre d'Or, etc",Classical Romances,Cycle of Troy,,,,27
Roman de Troie,roman de troie,Benoît de Sainte-More,Classical Romances,Cycle of Troy,harley,harley 4482,,35
Roman de Troie,roman de troie,Benoît de Sainte-More,Classical Romances,Cycle of Troy,additional,add. 30863,,35
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,12. d. iii.,ff. 38-143,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,13. c. xii.,ff. 6-32 b,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,15. c. xvi.,ff. 86-145,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,royal,16. f. ix.,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 51.,ff. 3-105 b,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 176,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 3637,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 3681,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 4123.,ff. 50-126,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,harley,harley 4387,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,lansdowne,lansdowne 229.,ff. 164,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,arundel,arundel 6,ff. 242-342 b,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,arundel,arundel 174,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,additional,add. 9785,,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,additional,"add. 15,477",,40
Historia Trojana,historia trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,additional,"add. 22,155",,40
Trojumanna Saga,trójumanna saga,,Classical Romances,Cycle of Troy,additional,add. 4869.,ff. 2-66,62
Rimur af Trojumonnum,,Jon Jonsson,Classical Romances,Cycle of Troy,,,,63
Recueil,,Raoul Le Fèvre,Classical Romances,Cycle of Troy,,,,64
Latin History of Troy,history of troy,,Classical Romances,Cycle of Troy,burney,burney 186.,ff. 116-128,66
Filostrato,filostrato,Boccaccio,Classical Romances,Cycle of Troy,additional,"add. 21,246",,67
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 1239.,ff. 1-62 b,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 2280,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 2392,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 3943,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,harley,harley 4912,,70
Troilus and Chryseyde,troilus and cryseyde,Chaucer,Classical Romances,Cycle of Troy,additional,"add. 12,044",,70
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,royal,18. d. ii.,ff. 6-146,75
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,royal,18. d. vi.,,75
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,cotton,augustus a. iv.,,75
Troy Book,troy book,Lydgate,Classical Romances,Cycle of Troy,arundel,arundel 99,,75
Roman d'Eneas,roman d'eneas,,Classical Romances,Cycle of Troy,additional,"add. 14,100",,82
Romance of Troy,romance of troy,,Classical Romances,Cycle of Troy,harley,harley 525.,ff. 1-34 b,84
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,royal,18. d. ii.,ff. 147 b-162,87
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,cotton,cotton appendix xxvii.,"ff. 11-61; formerly ff. 106-130 b, and xxxix. ff. 80-103 b",87
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,arundel,arundel 119,,87
Romance of Thebes,romance of thebes,Lydgate,Classical Romances,,additional,"add. 18,632.",ff. 5-33,87
"Romance of Jason, from Raoul Le Fèvre (Dutch)",romance of jason,,Classical Romances,,additional,"add. 10,290.",ff. 2-161,92
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,royal,8. b. iv.,ff. 19-71 b,94
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,royal,15. a. x.,ff. 2-89,94
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,harley,harley 4745,,94
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,harley,harley 5437,,94
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,burney,burney 312,,94
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,additional,"add. 17,084",,94
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,additional,"add. 18,217",,94
Alexandreis,alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,additional,"add. 22,821",,94
Alexanders Saga,alexander saga,Brandr Jonsson,Classical Romances,Cycle of Alexander,additional,"add. 11,238.",ff. 507-692 b,104
Alexanders Saga,alexander saga,Brandr Jonsson,Classical Romances,Cycle of Alexander,additional,"add. 24,969.",ff. 128 b-151 b,104
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,royal,8. b. iv.,ff. 19-71 b,106
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,royal,15. a. x.,ff. 2-89,106
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,harley,harley 4745,,106
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,harley,harley 5437,,106
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,burney,burney 312,,106
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,additional,"add. 17,084",,106
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,additional,"add. 18,217",,106
"Alexander, abridged from Julius Valerius",alexandreis,,Classical Romances,Cycle of Alexander,additional,"add. 22,821",,106
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,royal,8. b. iv.,ff. 19-71 b,120
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,royal,15. a. x.,ff. 2-89,120
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,harley,harley 4745,,120
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,harley,harley 5437,,120
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,burney,burney 312,,120
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,additional,"add. 17,084",,120
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,additional,"add. 18,217",,120
"Alexander, or Historia de Preliis",alexandreis,,Classical Romances,Cycle of Alexander,additional,"add. 22,821",,120
"Marvels of India, etc",marvels of india,,Classical Romances,Cycle of Alexander,cotton,vitellius a. xv.,ff. 109-133 b,131
"Marvels of India, etc",marvels of india,,Classical Romances,Cycle of Alexander,arundel,arundel 242.,ff. 160-182,131
"Treatise on the Brahmins, ascribed to Palladius of Galatia",treatise on the brahmins,,Classical Romances,Cycle of Alexander,arundel,arundel 546.,ff. 265 b-280 b,134
"Letters of Dindimus the Brahmin, etc",letters of dindimus to alexander the great,,Classical Romances,Cycle of Alexander,cotton,galba e. xi.,ff. 98 b-101 b,136
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,royal,8. b. iv.,ff. 19-71 b,141
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,royal,15. a. x.,ff. 2-89,141
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,harley,harley 4745,,141
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,harley,harley 5437,,141
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,burney,burney 312,,141
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,additional,"add. 17,084",,141
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,additional,"add. 18,217",,141
Alexandreis,alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,additional,"add. 22,821",,141
La Vengeance d'Alexandre,la vengeance d'alexandre,,Classical Romances,Cycle of Alexander,royal,19. d. i.,ff. 47-57,143
Voeux du Paon,voeux du paon,,Classical Romances,Cycle of Alexander,harley,harley 3992,,146
Voeux du Paon,voeux du paon,,Classical Romances,Cycle of Alexander,arundel,arundel 230,ff. 181 b,146
Voeux du Paon,voeux du paon,,Classical Romances,Cycle of Alexander,additional,"add. 16,956",,146
Voeux du Paon,voeux du paon,,Classical Romances,Cycle of Alexander,additional,add. 30864,,146
Florimont,florimont,Aimé de Varennes,Classical Romances,Cycle of Alexander,harley,harley 3983.,ff. 2-82 b,156
Florimont,florimont,Aimé de Varennes,Classical Romances,Cycle of Alexander,harley,harley 4487.,ff. 3-96,156
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,royal,14. c. xi.,ff. 80-83 b,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,royal,20. c. ii.,ff. 210-236,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,cotton,vespasian a. xiii.,ff. 132-147 b,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,cotton,titus d. iii.,ff. 127-137 b,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,arundel,arundel 123.,ff. 33-42 b,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,arundel,arundel 292.,ff. 41-61,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,sloane,sloane 1619,ff. 18-29,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,sloane,sloane 2233,,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,additional,add. 4857.,ff. 28-56 b,161
Apollonius of Tyre,apollonius of tyre,,Classical Romances,,additional,add. 4864.,ff. 88-114 b,161
Sir Orpheo,sir orpheo,,Classical Romances,,harley,harley 3810. part i.,ff. 1-10,171
Athis et Profilias,roman d'athis et profilas,Alexandre de Bernay,Classical Romances,,additional,"add. 16,441",,173
Athis et Profilias,roman d'athis et profilas,Alexandre de Bernay,Classical Romances,,additional,"add. 16,441",,173
"Titus and Vespasian, a chanson de geste",titus and vespasian,,Classical Romances,,royal,16. e. viii.,ff. 73-102 b,176
"Titus and Vespasian, a chanson de geste",titus and vespasian,,Classical Romances,,cotton,caligula a. ii.,ff. 111-125,176
"Titus and Vespasian, a chanson de geste",titus and vespasian,,Classical Romances,,cotton,vespasian e. xvi.,ff. 70-75 b,176
"Titus and Vespasian, a chanson de geste",titus and vespasian,,Classical Romances,,additional,"add. 10,038.",ff. 2-81 b,176
"Titus and Vespasian, a chanson de geste",titus and vespasian,,Classical Romances,,additional,"add. 10,289.",ff. 82-121,176
"Titus and Vespasian, a chanson de geste",titus and vespasian,,Classical Romances,,additional,add. 31042,ff50-66,176
"Titus and Vespasian, an English poem",titus and vespasian,,Classical Romances,,royal,16. e. viii.,ff. 73-102 b,180
"Titus and Vespasian, an English poem",titus and vespasian,,Classical Romances,,cotton,caligula a. ii.,ff. 111-125,180
"Titus and Vespasian, an English poem",titus and vespasian,,Classical Romances,,cotton,vespasian e. xvi.,ff. 70-75 b,180
"Titus and Vespasian, an English poem",titus and vespasian,,Classical Romances,,additional,"add. 10,038.",ff. 2-81 b,180
"Titus and Vespasian, an English poem",titus and vespasian,,Classical Romances,,additional,"add. 10,289.",ff. 82-121,180
"Titus and Vespasian, an English poem",titus and vespasian,,Classical Romances,,additional,add. 31042,ff50-66,180
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,royal,13. a. xiv.,ff. 244-247,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,royal,15. a. xxii.,ff. 110-115,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,royal,15. b. xi.,ff. 67-69,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,cotton,caligula a. x.,ff. 200-204,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,cotton,caligula b. vii.,"ff. 219, 220",190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,cotton,vespasian b. xxv.,ff. 117 b-123,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,cotton,vespasian e. iv.,ff. 143-147,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,cotton,titus d. iii.,ff. 143-147 b,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,cotton,domitian xiii.,ff. 104-107,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,cotton,domitian xiii.,ff. 132 b-134 b,190
Prophecy of the tenth Sibyl,prophecy of the tenth sibyl,,Classical Romances,,egerton,egerton 810,ff. 106-109 b,190
"Life of Virgil, in Icelandic (from the Dutch)",life of virgilius,,Classical Romances,,additional,add. 4859.,ff. 81 b-91,196
"Life of Virgil, in Icelandic (from the Dutch)",life of virgilius,,Classical Romances,,additional,"add. 11,141.",ff. 132-147,196
"Albina and her Sisters, or De origine Gigantum",story of albina and her sisters,,British and English Traditions,,cotton,nero d. viii.,"ff. 186, 187",198
"Albina and her Sisters, or De origine Gigantum",story of albina and her sisters,,British and English Traditions,,cotton,vespasian e. x.,ff. 390 b-392,198
"Albina and her Sisters, or De origine Gigantum",story of albina and her sisters,,British and English Traditions,,cotton,titus a. xix.,ff. 103,198
"Albina and her Sisters, or De origine Gigantum",story of albina and her sisters,,British and English Traditions,,cotton,cleopatra d. viii.,ff. 3 b-5,198
"Albina and her Sisters, or De origine Gigantum",story of albina and her sisters,,British and English Traditions,,cotton,cleopatra d. ix.,"ff. 67, 68",198
"Albina and her Sisters, or De origine Gigantum",story of albina and her sisters,,British and English Traditions,,harley,harley 941.,ff. 1-3,198
"Albina and her Sisters, or De origine Gigantum",story of albina and her sisters,,British and English Traditions,,harley,harley 2386.,ff. 65 b-67,198
Historia Regum Britannia,historia regum britannia,Geoffrey of Monmouth,British and English Traditions,,royal,14. c. i.,ff. 80-137,203
Historia Regum Britannia,historia regum britannia,Geoffrey of Monmouth,British and English Traditions,,royal,15. c. xvi.,ff. 146-183 b,203
Roman de Brut,roman de brut,Wace,British and English Traditions,,royal,13. a. xxi.,ff. 40 b-113,259
Roman de Brut,roman de brut,Wace,British and English Traditions,,cotton,vitellius a. x.,ff. 19-114 b,259
Roman de Brut,roman de brut,Wace,British and English Traditions,,harley,harley 6508,,259
Lazamon's Brut,lazamon's brut,,British and English Traditions,,cotton,caligula a. ix.,ff. 3-194 b,268
Chanson de Brut,chanson de brut,,British and English Traditions,,harley,harley 1605. art. i.,,272
Gesta regum Britanniae,gesta regum britannia,Pseudo-Gildas,British and English Traditions,,cotton,julius d. xi.,ff. 2-60,274
Brutus,brutus,,British and English Traditions,,cotton,vespasian a. x.,ff. 44 b-51,277
Vita Merlini,vita merlini,Geffrey of Monmouth,British and English Traditions,,royal,13. e. i.,ff. 143-146,278
