title_theme,title_index,author,theme,cycle,collection,mss_ff,mss,ff,page,mss_index,material_class,size_class,cent_i,cent_s
heroica,heroica,flavius philostratus,classical romances,cycle of troy,royal,16. c. xxiii. ff. 2-69 b,16. c. xxiii.,ff. 2-69 b,1,royal 16. c. xxiii. ff. 2-69 b,vellum,quarto,15.0,15e
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,royal,16. c. iv. a. b.,16. c. iv. a. b.,,2,royal 16. c. iv. a. b.,paper,quarto,16.0,16e
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,royal,16. d. iii. a. b.,16. d. iii. a. b.,,2,royal 16. d. iii. a. b.,paper,,6.0,6e
iliaca,iliaca,joannes tzetzes,classical romances,cycle of troy,harley,harley 5662. ff. 1-56,harley 5662.,ff. 1-56,2,harley 5662. ff. 1-56,paper,quarto,15.0,15e
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,harley,harley 3514,harley 3514,,9,harley 3514,vellum,octavo,15.0,15e
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,burney,burney 170,burney 170,,9,burney 170,,,,unknown
dictys cretensis,dictys cretensis,,classical romances,cycle of troy,additional,"add. 15,429","add. 15,429",,9,"additional add. 15,429",paper,octavo,15.0,15e
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,6. c. viii. ff. 123-133 b,6. c. viii.,ff. 123-133 b,12,royal 6. c. viii. ff. 123-133 b,vellum,folio,13.0,13e
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,10. a. x. ff. 188-192 b,10. a. x.,ff. 188-192 b,12,royal 10. a. x. ff. 188-192 b,vellum,quarto,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,13. a. v. ff. 88 b-98 b,13. a. v.,ff. 88 b-98 b,12,royal 13. a. v. ff. 88 b-98 b,vellum,quarto,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,15. a. xxii. ff. 73-90,15. a. xxii.,ff. 73-90,12,royal 15. a. xxii. ff. 73-90,vellum,quarto,12.0,12e
dares phrygius,dares phrygius,,classical romances,cycle of troy,royal,15. b. xi. ff. 57-66 b,15. b. xi.,ff. 57-66 b,12,royal 15. b. xi. ff. 57-66 b,vellum,quarto,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,caligula b. vii. ff. 214-218 b,caligula b. vii.,ff. 214-218 b,12,cotton caligula b. vii. ff. 214-218 b,,,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,vitellius a. xiii. ff. 90,vitellius a. xiii.,ff. 90,12,cotton vitellius a. xiii. ff. 90,,,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,vitellius c. viii. ff. 5 b-6 b,vitellius c. viii.,ff. 5 b-6 b,12,cotton vitellius c. viii. ff. 5 b-6 b,vellum,folio,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,vespasian b. xxv. ff. 98 b-117,vespasian b. xxv.,ff. 98 b-117,12,cotton vespasian b. xxv. ff. 98 b-117,vellum,quarto,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,cotton,cleopatra b. v. ff. 222-250,cleopatra b. v.,ff. 222-250,12,cotton cleopatra b. v. ff. 222-250,vellum,quarto,15.0,15e
dares phrygius,dares phrygius,,classical romances,cycle of troy,harley,harley 641. ff. 1-8,harley 641.,ff. 1-8,12,harley 641. ff. 1-8,vellum,folio,5.0,5e
dares phrygius,dares phrygius,,classical romances,cycle of troy,burney,burney 216. ff. 89-93 b,burney 216.,ff. 89-93 b,12,burney 216. ff. 89-93 b,,,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,burney,burney 280. ff. 20 b-38 b,burney 280.,ff. 20 b-38 b,12,burney 280. ff. 20 b-38 b,,,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,sloane,sloane 1619 ff. 29-37 b,sloane 1619,ff. 29-37 b,12,sloane 1619 ff. 29-37 b,vellum,octavo,,unknown
dares phrygius,dares phrygius,,classical romances,cycle of troy,additional,"add. 10,094. ff. 1-14 b","add. 10,094.",ff. 1-14 b,12,"additional add. 10,094. ff. 1-14 b",vellum,quarto,15.0,15e
dares phrygius,dares phrygius,,classical romances,cycle of troy,additional,"add. 15,042","add. 15,042",,12,"additional add. 15,042",paper,quarto,19.0,19e
dares phrygius,dares phrygius,,classical romances,cycle of troy,additional,"add. 19,709. ff. 1-7","add. 19,709.",ff. 1-7,12,"additional add. 19,709. ff. 1-7",vellum,quarto,15.0,15e
latin poems,,"simon chèvre d'or, etc",classical romances,cycle of troy,,,,,27,,paper,folio,,unknown
roman de troie,roman de troie,benoît de sainte-more,classical romances,cycle of troy,harley,harley 4482,harley 4482,,35,harley 4482,vellum,,,unknown
roman de troie,roman de troie,benoît de sainte-more,classical romances,cycle of troy,additional,add. 30863,add. 30863,,35,additional add. 30863,vellum,octavo,,unknown
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,12. d. iii. ff. 38-143,12. d. iii.,ff. 38-143,40,royal 12. d. iii. ff. 38-143,vellum,quarto,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,13. c. xii. ff. 6-32 b,13. c. xii.,ff. 6-32 b,40,royal 13. c. xii. ff. 6-32 b,vellum,folio,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,15. c. xvi. ff. 86-145,15. c. xvi.,ff. 86-145,40,royal 15. c. xvi. ff. 86-145,vellum,folio,14.0,14e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,royal,16. f. ix.,16. f. ix.,,40,royal 16. f. ix.,vellum,folio,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 51. ff. 3-105 b,harley 51.,ff. 3-105 b,40,harley 51. ff. 3-105 b,,,,unknown
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 176,harley 176,,40,harley 176,,,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 3637,harley 3637,,40,harley 3637,vellum,folio,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 3681,harley 3681,,40,harley 3681,paper,folio,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 4123. ff. 50-126,harley 4123.,ff. 50-126,40,harley 4123. ff. 50-126,vellum,folio,14.0,14e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,harley,harley 4387,harley 4387,,40,harley 4387,paper,quarto,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,lansdowne,lansdowne 229. ff. 164,lansdowne 229.,ff. 164,40,lansdowne 229. ff. 164,vellum,folio,,unknown
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,arundel,arundel 6 ff. 242-342 b,arundel 6,ff. 242-342 b,40,arundel 6 ff. 242-342 b,paper,folio,,unknown
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,arundel,arundel 174,arundel 174,,40,arundel 174,vellum,octavo,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,additional,add. 9785,add. 9785,,40,additional add. 9785,paper,quarto,15.0,15e
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,additional,"add. 15,477","add. 15,477",,40,"additional add. 15,477",vellum,folio,,unknown
historia trojana,historia trojana,guido delle colonne,classical romances,cycle of troy,additional,"add. 22,155","add. 22,155",,40,"additional add. 22,155",vellum,folio,,unknown
trojumanna saga,trójumanna saga,,classical romances,cycle of troy,additional,add. 4869. ff. 2-66,add. 4869.,ff. 2-66,62,additional add. 4869. ff. 2-66,paper,folio,17.0,17e
rimur af trojumonnum,rimur from trójumanna saga,jon jonsson,classical romances,cycle of troy,additional,"add. 11,113. ff. 171-281","add. 11,113.",ff. 171-281,63,"additional add. 11,113. ff. 171-281",paper,folio,1.0,1e
latin history of troy,history of troy,,classical romances,cycle of troy,burney,burney 186. ff. 116-128,burney 186.,ff. 116-128,66,burney 186. ff. 116-128,,,,unknown
filostrato,filostrato,boccaccio,classical romances,cycle of troy,additional,"add. 21,246","add. 21,246",,67,"additional add. 21,246",vellum,folio,,unknown
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 1239. ff. 1-62 b,harley 1239.,ff. 1-62 b,70,harley 1239. ff. 1-62 b,vellum,folio,15.0,15e
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 2280,harley 2280,,70,harley 2280,vellum,folio,15.0,15e
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 2392,harley 2392,,70,harley 2392,paper,quarto,15.0,15e
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 3943,harley 3943,,70,harley 3943,,,,unknown
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,harley,harley 4912,harley 4912,,70,harley 4912,vellum,folio,15.0,15e
troilus and chryseyde,troilus and cryseyde,chaucer,classical romances,cycle of troy,additional,"add. 12,044","add. 12,044",,70,"additional add. 12,044",vellum,quarto,15.0,15e
troy book,troy book,lydgate,classical romances,cycle of troy,royal,18. d. ii. ff. 6-146,18. d. ii.,ff. 6-146,75,royal 18. d. ii. ff. 6-146,vellum,folio,15.0,15e
troy book,troy book,lydgate,classical romances,cycle of troy,royal,18. d. vi.,18. d. vi.,,75,royal 18. d. vi.,vellum,folio,15.0,15e
troy book,troy book,lydgate,classical romances,cycle of troy,cotton,augustus a. iv.,augustus a. iv.,,75,cotton augustus a. iv.,,,,unknown
troy book,troy book,lydgate,classical romances,cycle of troy,arundel,arundel 99,arundel 99,,75,arundel 99,,,,unknown
roman d'eneas,roman d'eneas,,classical romances,cycle of troy,additional,"add. 14,100","add. 14,100",,82,"additional add. 14,100",vellum,folio,5.0,5e
romance of troy,romance of troy,,classical romances,cycle of troy,harley,harley 525. ff. 1-34 b,harley 525.,ff. 1-34 b,84,harley 525. ff. 1-34 b,vellum,quarto,,unknown
romance of thebes,romance of thebes,lydgate,classical romances,,cotton,"cotton appendix xxvii. ff. 11-61; formerly ff. 106-130 b, and xxxix. ff. 80-103 b",cotton appendix xxvii.,"ff. 11-61; formerly ff. 106-130 b, and xxxix. ff. 80-103 b",87,"cotton appendix xxvii. ff. 11-61; formerly ff. 106-130 b, and xxxix. ff. 80-103 b",,,,unknown
romance of thebes,romance of thebes,lydgate,classical romances,,arundel,arundel 119,arundel 119,,87,arundel 119,vellum,folio,15.0,15e
romance of thebes,romance of thebes,lydgate,classical romances,,additional,"add. 18,632. ff. 5-33","add. 18,632.",ff. 5-33,87,"additional add. 18,632. ff. 5-33",vellum,folio,15.0,15e
"romance of jason, from raoul le fèvre (dutch)",romance of jason,,classical romances,,additional,"add. 10,290. ff. 2-161","add. 10,290.",ff. 2-161,92,"additional add. 10,290. ff. 2-161",paper,folio,15.0,15e
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,royal,8. b. iv. ff. 19-71 b,8. b. iv.,ff. 19-71 b,94,royal 8. b. iv. ff. 19-71 b,vellum,octavo,1.0,1e
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,royal,15. a. x. ff. 2-89,15. a. x.,ff. 2-89,94,royal 15. a. x. ff. 2-89,,octavo,,unknown
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,harley,harley 4745,harley 4745,,94,harley 4745,paper,quarto,14.0,14e
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,harley,harley 5437,harley 5437,,94,harley 5437,vellum,quarto,,unknown
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,burney,burney 312,burney 312,,94,burney 312,,,,unknown
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,additional,"add. 17,084","add. 17,084",,94,"additional add. 17,084",vellum,quarto,15.0,15e
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,additional,"add. 18,217","add. 18,217",,94,"additional add. 18,217",vellum,quarto,5.0,5e
alexandreis,alexandreis,gaultier de châtillon,classical romances,cycle of alexander,additional,"add. 22,821","add. 22,821",,94,"additional add. 22,821",paper,folio,15.0,15e
alexanders saga,alexander saga,brandr jonsson,classical romances,cycle of alexander,additional,"add. 11,238. ff. 507-692 b","add. 11,238.",ff. 507-692 b,104,"additional add. 11,238. ff. 507-692 b",,,,unknown
alexanders saga,alexander saga,brandr jonsson,classical romances,cycle of alexander,additional,"add. 24,969. ff. 128 b-151 b","add. 24,969.",ff. 128 b-151 b,104,"additional add. 24,969. ff. 128 b-151 b",paper,folio,18.0,18e
"marvels of india, etc",marvels of india,,classical romances,cycle of alexander,cotton,vitellius a. xv. ff. 109-133 b,vitellius a. xv.,ff. 109-133 b,131,cotton vitellius a. xv. ff. 109-133 b,,,,unknown
"marvels of india, etc",marvels of india,,classical romances,cycle of alexander,arundel,arundel 242. ff. 160-182,arundel 242.,ff. 160-182,131,arundel 242. ff. 160-182,,,,unknown
"treatise on the brahmins, ascribed to palladius of galatia",treatise on the brahmins,,classical romances,cycle of alexander,arundel,arundel 546. ff. 265 b-280 b,arundel 546.,ff. 265 b-280 b,134,arundel 546. ff. 265 b-280 b,,,,unknown
"letters of dindimus the brahmin, etc",letters of dindimus to alexander the great,,classical romances,cycle of alexander,cotton,galba e. xi. ff. 98 b-101 b,galba e. xi.,ff. 98 b-101 b,136,cotton galba e. xi. ff. 98 b-101 b,vellum,folio,5.0,5e
la vengeance d'alexandre,la vengeance d'alexandre,,classical romances,cycle of alexander,royal,19. d. i. ff. 47-57,19. d. i.,ff. 47-57,143,royal 19. d. i. ff. 47-57,vellum,folio,14.0,14e
voeux du paon,voeux du paon,,classical romances,cycle of alexander,harley,harley 3992,harley 3992,,146,harley 3992,vellum,octavo,,unknown
voeux du paon,voeux du paon,,classical romances,cycle of alexander,arundel,arundel 230 ff. 181 b,arundel 230,ff. 181 b,146,arundel 230 ff. 181 b,vellum,folio,,unknown
voeux du paon,voeux du paon,,classical romances,cycle of alexander,additional,"add. 16,956","add. 16,956",,146,"additional add. 16,956",paper,quarto,19.0,19e
voeux du paon,voeux du paon,,classical romances,cycle of alexander,additional,add. 30864,add. 30864,,146,additional add. 30864,vellum,quarto,5.0,5e
florimont,florimont,aimé de varennes,classical romances,cycle of alexander,harley,harley 3983. ff. 2-82 b,harley 3983.,ff. 2-82 b,156,harley 3983. ff. 2-82 b,vellum,folio,14.0,14e
florimont,florimont,aimé de varennes,classical romances,cycle of alexander,harley,harley 4487. ff. 3-96,harley 4487.,ff. 3-96,156,harley 4487. ff. 3-96,vellum,folio,,unknown
apollonius of tyre,apollonius of tyre,,classical romances,,royal,14. c. xi. ff. 80-83 b,14. c. xi.,ff. 80-83 b,161,royal 14. c. xi. ff. 80-83 b,vellum,folio,,unknown
apollonius of tyre,apollonius of tyre,,classical romances,,royal,20. c. ii. ff. 210-236,20. c. ii.,ff. 210-236,161,royal 20. c. ii. ff. 210-236,vellum,folio,15.0,15e
apollonius of tyre,apollonius of tyre,,classical romances,,cotton,vespasian a. xiii. ff. 132-147 b,vespasian a. xiii.,ff. 132-147 b,161,cotton vespasian a. xiii. ff. 132-147 b,vellum,quarto,15.0,15e
apollonius of tyre,apollonius of tyre,,classical romances,,cotton,titus d. iii. ff. 127-137 b,titus d. iii.,ff. 127-137 b,161,cotton titus d. iii. ff. 127-137 b,vellum,octavo,4.0,4e
apollonius of tyre,apollonius of tyre,,classical romances,,arundel,arundel 123. ff. 33-42 b,arundel 123.,ff. 33-42 b,161,arundel 123. ff. 33-42 b,vellum,folio,14.0,14e
apollonius of tyre,apollonius of tyre,,classical romances,,arundel,arundel 292. ff. 41-61,arundel 292.,ff. 41-61,161,arundel 292. ff. 41-61,,,,unknown
apollonius of tyre,apollonius of tyre,,classical romances,,sloane,sloane 2233,sloane 2233,,161,sloane 2233,paper,,,unknown
apollonius of tyre,apollonius of tyre,,classical romances,,additional,add. 4857. ff. 28-56 b,add. 4857.,ff. 28-56 b,161,additional add. 4857. ff. 28-56 b,paper,folio,17.0,17e
apollonius of tyre,apollonius of tyre,,classical romances,,additional,add. 4864. ff. 88-114 b,add. 4864.,ff. 88-114 b,161,additional add. 4864. ff. 88-114 b,paper,folio,,unknown
sir orpheo,sir orpheo,,classical romances,,harley,harley 3810. part i. ff. 1-10,harley 3810. part i.,ff. 1-10,171,harley 3810. part i. ff. 1-10,paper,,,unknown
athis et profilias,roman d'athis et profilas,alexandre de bernay,classical romances,,additional,"add. 16,441","add. 16,441",,173,"additional add. 16,441",vellum,quarto,14.0,14e
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,royal,16. e. viii. ff. 73-102 b,16. e. viii.,ff. 73-102 b,176,royal 16. e. viii. ff. 73-102 b,vellum,octavo,1.0,1e
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,cotton,caligula a. ii. ff. 111-125,caligula a. ii.,ff. 111-125,176,cotton caligula a. ii. ff. 111-125,paper,octavo,,unknown
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,cotton,vespasian e. xvi. ff. 70-75 b,vespasian e. xvi.,ff. 70-75 b,176,cotton vespasian e. xvi. ff. 70-75 b,vellum,quarto,15.0,15e
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,additional,"add. 10,038. ff. 2-81 b","add. 10,038.",ff. 2-81 b,176,"additional add. 10,038. ff. 2-81 b",vellum,octavo,,unknown
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,additional,"add. 10,289. ff. 82-121","add. 10,289.",ff. 82-121,176,"additional add. 10,289. ff. 82-121",vellum,quarto,,unknown
"titus and vespasian, a chanson de geste",titus and vespasian,,classical romances,,additional,add. 31042 ff 50-66,add. 31042,ff50-66,176,additional add. 31042 ff 50-66,paper,quarto,,unknown
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,royal,13. a. xiv. ff. 244-247,13. a. xiv.,ff. 244-247,190,royal 13. a. xiv. ff. 244-247,vellum,quarto,,unknown
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,caligula a. x. ff. 200-204,caligula a. x.,ff. 200-204,190,cotton caligula a. x. ff. 200-204,,quarto,,unknown
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,vespasian e. iv. ff. 143-147,vespasian e. iv.,ff. 143-147,190,cotton vespasian e. iv. ff. 143-147,vellum,quarto,,unknown
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,cotton,domitian xiii. ff. 104-107,domitian xiii.,ff. 104-107,190,cotton domitian xiii. ff. 104-107,vellum,quarto,,unknown
prophecy of the tenth sibyl,prophecy of the tenth sibyl,,classical romances,,egerton,egerton 810 ff. 106-109 b,egerton 810,ff. 106-109 b,190,egerton 810 ff. 106-109 b,vellum,,,unknown
"life of virgil, in icelandic (from the dutch)",life of virgilius,,classical romances,,additional,add. 4859. ff. 81 b-91,add. 4859.,ff. 81 b-91,196,additional add. 4859. ff. 81 b-91,paper,folio,,unknown
"life of virgil, in icelandic (from the dutch)",life of virgilius,,classical romances,,additional,"add. 11,141. ff. 132-147","add. 11,141.",ff. 132-147,196,"additional add. 11,141. ff. 132-147",paper,quarto,,unknown
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,"nero d. viii. ff. 186, 187",nero d. viii.,"ff. 186, 187",198,"cotton nero d. viii. ff. 186, 187",vellum,folio,4.0,4e
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,vespasian e. x. ff. 390 b-392,vespasian e. x.,ff. 390 b-392,198,cotton vespasian e. x. ff. 390 b-392,vellum,octavo,15.0,15e
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,titus a. xix. ff. 103,titus a. xix.,ff. 103,198,cotton titus a. xix. ff. 103,paper,quarto,,unknown
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,cleopatra d. viii. ff. 3 b-5,cleopatra d. viii.,ff. 3 b-5,198,cotton cleopatra d. viii. ff. 3 b-5,,,,unknown
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,cotton,"cleopatra d. ix. ff. 67, 68",cleopatra d. ix.,"ff. 67, 68",198,"cotton cleopatra d. ix. ff. 67, 68",vellum,folio,,unknown
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,harley,harley 941. ff. 1-3,harley 941.,ff. 1-3,198,harley 941. ff. 1-3,paper,,,unknown
"albina and her sisters, or de origine gigantum",story of albina and her sisters,,british and english traditions,,harley,harley 2386. ff. 65 b-67,harley 2386.,ff. 65 b-67,198,harley 2386. ff. 65 b-67,paper,quarto,5.0,5e
historia regum britannia,historia regum britannia,geoffrey of monmouth,british and english traditions,,royal,14. c. i. ff. 80-137,14. c. i.,ff. 80-137,203,royal 14. c. i. ff. 80-137,vellum,folio,5.0,5e
roman de brut,roman de brut,wace,british and english traditions,,royal,13. a. xxi. ff. 40 b-113,13. a. xxi.,ff. 40 b-113,259,royal 13. a. xxi. ff. 40 b-113,vellum,quarto,,unknown
roman de brut,roman de brut,wace,british and english traditions,,cotton,vitellius a. x. ff. 19-114 b,vitellius a. x.,ff. 19-114 b,259,cotton vitellius a. x. ff. 19-114 b,,,,unknown
roman de brut,roman de brut,wace,british and english traditions,,harley,harley 6508,harley 6508,,259,harley 6508,vellum,folio,,unknown
lazamon's brut,lazamon's brut,,british and english traditions,,cotton,caligula a. ix. ff. 3-194 b,caligula a. ix.,ff. 3-194 b,268,cotton caligula a. ix. ff. 3-194 b,,,,unknown
chanson de brut,chanson de brut,,british and english traditions,,harley,harley 1605. art. i.,harley 1605. art. i.,,272,harley 1605. art. i.,vellum,quarto,,unknown
